批量回测 v2 结果
运行时间: 2026-06-20 17:55:59
股票数: 200 | 策略数: 3 | 总回测: 600
区间: 2024-01-01 ~ 2026-06-01

      代码           策略       收益     夏普     胜率       回撤   交易       基准       超额
  002767         趋势跟踪  +10.30% +0.39  33.3%  -15.55%    6  +10.42%   -0.12%
  688729       七维评分穿越  +10.22% +0.87  50.0%   -7.53%    4   +4.30%   +5.92%
  688620         均线金叉  +10.21% +0.37  37.5%  -13.62%    8   +3.06%   +7.15%
  002299         趋势跟踪  +10.13% +0.39  66.7%  -17.47%    3   +2.20%   +7.93%
  603585       七维评分穿越  +10.12% +0.42  40.0%  -13.44%    5  +12.38%   -2.26%
  688222       七维评分穿越   +9.71% +0.34  46.7%  -19.88%   15  +80.92%  -71.21%
  603116         均线金叉   +9.71% +0.38  50.0%  -11.50%    8  +14.76%   -5.05%
  601106         趋势跟踪   +9.65% +0.34  50.0%  -13.01%    4  +29.15%  -19.50%
  688283       七维评分穿越   +9.60% +0.40  45.5%  -10.90%   11  -43.38%  +52.98%
  688410       七维评分穿越   +9.58% +0.43  44.4%  -16.15%    9  -41.55%  +51.13%
  002683       七维评分穿越   +9.56% +0.38  57.1%  -12.53%    7  +58.65%  -49.09%
  605183       七维评分穿越   +9.18% +0.40  75.0%   -9.93%    8   +9.52%   -0.34%
  300556         趋势跟踪   +9.15% +0.37  66.7%  -17.97%    3  -41.76%  +50.91%
  603280         趋势跟踪   +9.12% +0.35  33.3%  -13.23%    6   +8.17%   +0.95%
  300404         均线金叉   +9.10% +0.31  28.6%  -20.12%    7  +11.21%   -2.11%
  002201       七维评分穿越   +8.84% +0.63 100.0%   -3.31%    1  +51.43%  -42.59%
  002598         趋势跟踪   +8.82% +0.33  33.3%  -16.28%    3  -26.88%  +35.70%
  600783       七维评分穿越   +8.68% +0.30  42.9%  -11.74%   14  +79.98%  -71.30%
  002009         趋势跟踪   +8.59% +0.36  40.0%  -11.67%    5  +50.02%  -41.43%
  600793       七维评分穿越   +8.57% +0.33  41.7%  -14.49%   12  +22.85%  -14.28%
  603180         均线金叉   +8.52% +0.30  28.6%  -19.32%    7  -28.96%  +37.48%
  603662         趋势跟踪   +8.38% +0.31  33.3%  -19.83%    6  +71.22%  -62.84%
  605268         均线金叉   +8.24% +0.37  66.7%   -9.13%    3   +6.08%   +2.16%
  600399       七维评分穿越   +8.24% +0.30  54.5%  -29.56%   11  -51.90%  +60.14%
  300385         均线金叉   +8.13% +0.65 100.0%   -1.28%    1 +111.02% -102.89%
  003037         均线金叉   +8.10% +0.30  45.5%  -20.39%   11  -33.79%  +41.89%
  300572         均线金叉   +8.01% +0.38  50.0%  -12.93%    6  +64.79%  -56.78%
  301131       七维评分穿越   +7.89% +0.26  45.5%  -21.27%   22  -25.65%  +33.54%
  300106         趋势跟踪   +7.62% +0.28  37.5%  -17.90%    8  +43.68%  -36.06%
  301036         均线金叉   +7.49% +0.34  40.0%  -11.99%   10  +10.34%   -2.85%
  688283         趋势跟踪   +7.47% +0.33  28.6%  -15.92%    7  -43.38%  +50.85%
  001390         均线金叉   +7.43% +0.66  33.3%  -10.55%    3  -42.72%  +50.15%
  600128       七维评分穿越   +7.14% +0.33  62.5%  -12.87%    8   -3.47%  +10.61%
  688370       七维评分穿越   +6.87% +0.46  75.0%   -7.62%    4   -7.12%  +13.99%
  600638         趋势跟踪   +6.86% +0.26  40.0%  -19.94%    5  +12.48%   -5.62%
  000505         均线金叉   +6.81% +0.24  27.3%  -21.28%   11  -11.52%  +18.33%
  002676         趋势跟踪   +6.58% +0.34  33.3%  -14.31%    3  +15.47%   -8.89%
  001202         均线金叉   +6.57% +0.40  50.0%   -7.30%    4  -11.77%  +18.34%
  600480         均线金叉   +6.51% +0.29  33.3%  -19.86%    6  +19.55%  -13.04%
  600681         均线金叉   +6.50% +0.26  25.0%  -13.93%    8   -1.51%   +8.01%
