code,market,name,price,last_close,open,high,low,change_amt,change_pct,turnover_pct,pe_ttm,pb,mcap_yi,float_mcap_yi,limit_up,limit_down,vol_ratio,pe_static,amplitude_pct,amount_wan,update_time
000678,sz,襄阳轴承,10.05,9.87,9.85,10.35,9.54,0.18,1.82,3.83,-84.76,5.93,46.19,,10.86,8.88,-17.69,10.35,46.19,-94.03,2026-06-16T18:29:47.722653
000679,sz,大连友谊,6.68,6.07,6.07,6.68,5.95,0.61,10.05,3.33,-24.57,16.46,23.81,,6.68,5.46,-3.61,6.68,23.81,-24.46,2026-06-16T18:29:47.722653
000680,sz,山推股份,10.45,10.70,10.66,10.79,10.40,-0.25,-2.34,1.38,12.36,2.48,156.76,,11.77,9.63,-7.04,10.79,137.38,12.95,2026-06-16T18:29:47.722653
000681,sz,视觉中国,21.52,22.25,22.01,22.10,21.32,-0.73,-3.28,7.50,49.59,3.93,150.76,,24.48,20.03,-3.71,22.10,145.50,181.58,2026-06-16T18:29:47.722653
000682,sz,东方电子,12.42,12.43,12.43,12.58,12.18,-0.01,-0.08,1.95,16.22,2.71,166.52,,13.67,11.19,-8.81,12.58,166.50,18.26,2026-06-16T18:29:47.722653
000683,sz,博源化工,6.78,6.95,6.96,6.97,6.76,-0.17,-2.45,1.28,24.63,1.93,252.00,,7.65,6.26,-23.39,6.97,226.60,26.75,2026-06-16T18:29:47.722653
000685,sz,中山公用,11.07,10.96,10.90,11.19,10.79,0.11,1.00,1.73,7.53,0.85,162.48,,12.06,9.86,-4.90,11.19,138.00,8.65,2026-06-16T18:29:47.722653
000686,sz,东北证券,8.12,8.08,7.99,8.12,7.96,0.04,0.50,1.25,11.45,0.94,190.04,,8.89,7.27,-3.45,8.12,190.04,13.09,2026-06-16T18:29:47.722653
000688,sz,国城矿业,41.77,45.60,44.00,44.00,41.75,-3.83,-8.40,3.18,72.09,17.39,495.00,,50.16,41.04,28.40,44.00,495.00,45.98,2026-06-16T18:29:47.722653
000690,sz,宝新能源,5.60,5.34,5.33,5.82,5.30,0.26,4.87,7.88,11.78,0.96,121.85,,5.87,4.81,22.00,5.82,121.77,11.89,2026-06-16T18:29:47.722653
000691,sz,亚太实业,11.15,10.51,10.33,11.24,10.33,0.64,6.09,8.32,-233.50,11.89,54.07,,11.56,9.46,32.58,11.24,36.04,-151.01,2026-06-16T18:29:47.722653
000692,sz,惠天热电,4.40,4.43,4.40,4.45,4.29,-0.03,-0.68,2.97,71.48,12.64,23.44,,4.87,3.99,3.29,4.45,23.44,-43.81,2026-06-16T18:29:47.722653
000695,sz,滨海能源,13.15,12.98,13.04,13.35,12.92,0.17,1.31,4.86,-34.31,10.19,30.48,,14.28,11.68,-5.73,13.35,29.17,-34.58,2026-06-16T18:29:47.722653
000697,sz,炼石航空,11.79,10.95,11.02,12.05,10.80,0.84,7.67,4.69,-35.56,4.88,164.60,,12.05,9.86,16.39,12.05,77.00,-31.77,2026-06-16T18:29:47.722653
000698,sz,ST沈化,3.24,3.26,3.28,3.28,3.20,-0.02,-0.61,0.67,-75.81,1.91,26.55,,3.42,3.10,-20.20,3.28,25.46,-243.33,2026-06-16T18:29:47.722653
000700,sz,模塑科技,16.11,15.84,16.12,16.63,15.80,0.27,1.70,11.34,29.75,3.73,147.89,,17.42,14.26,32.92,16.63,147.89,30.62,2026-06-16T18:29:47.722653
000701,sz,厦门信达,4.98,5.04,5.05,5.06,4.92,-0.06,-1.19,2.09,185.53,-5.43,33.28,,5.54,4.54,-17.82,5.06,33.25,218.35,2026-06-16T18:29:47.722653
000702,sz,正虹科技,5.44,5.46,5.45,5.49,5.29,-0.02,-0.37,2.07,-105.63,5.69,18.86,,6.01,4.91,-22.40,5.49,14.50,-131.88,2026-06-16T18:29:47.722653
000703,sz,恒逸石化,12.78,12.91,12.75,13.25,12.51,-0.13,-1.01,1.42,22.18,1.86,488.33,,14.20,11.62,12.55,13.25,485.88,189.03,2026-06-16T18:29:47.722653
000705,sz,浙江震元,6.55,6.72,6.70,6.71,6.39,-0.17,-2.53,2.75,-62.53,1.13,21.89,,7.39,6.05,-28.57,6.71,18.47,96.44,2026-06-16T18:29:47.722653
000707,sz,双环科技,4.76,4.72,4.74,4.77,4.66,0.04,0.85,1.06,-25.24,1.01,27.83,,5.19,4.25,-25.86,4.77,26.21,-31.31,2026-06-16T18:29:47.722653
000708,sz,中信特钢,13.81,14.08,14.06,14.07,13.80,-0.27,-1.92,0.32,11.51,1.65,697.01,,15.49,12.67,-14.93,14.07,697.01,11.76,2026-06-16T18:29:47.722653
000709,sz,河钢股份,2.11,2.14,2.13,2.14,2.10,-0.03,-1.40,0.77,19.96,0.42,218.11,,2.35,1.93,-15.60,2.14,218.08,21.77,2026-06-16T18:29:47.722653
000710,sz,贝瑞基因,8.06,8.04,8.04,8.08,7.87,0.02,0.25,1.73,-13.56,1.96,28.49,,8.84,7.24,-29.30,8.08,26.56,-14.48,2026-06-16T18:29:47.722653
000711,sz,ST京蓝,5.66,5.75,5.75,5.87,5.60,-0.09,-1.57,3.37,-88.52,25.24,167.14,,6.04,5.46,21.72,5.87,134.78,-79.19,2026-06-16T18:29:47.722653
